project,run_id,date_time_run,model_name,metric_name,metric_value
example,018d29f3-cd13-4ed9-863b-7c655ee246d3,2023-05-06 13:39:58,RandomForest,accuracy,0.7953488372093023
example,018d29f3-cd13-4ed9-863b-7c655ee246d3,2023-05-06 13:39:58,RandomForest,precision,0.7710843373493976
example,018d29f3-cd13-4ed9-863b-7c655ee246d3,2023-05-06 13:39:58,RandomForest,recall,0.7191011235955056
example,66283fd4-e58a-482b-a350-2b8ee9520ce2,2023-05-06 13:40:12,RandomForest,accuracy,0.7953488372093023
example,66283fd4-e58a-482b-a350-2b8ee9520ce2,2023-05-06 13:40:12,RandomForest,precision,0.7710843373493976
example,66283fd4-e58a-482b-a350-2b8ee9520ce2,2023-05-06 13:40:12,RandomForest,recall,0.7191011235955056
example,f5e919f4-abab-4ddf-87fd-32af84809390,2023-05-06 13:44:40,RandomForest,accuracy,0.7953488372093023
example,f5e919f4-abab-4ddf-87fd-32af84809390,2023-05-06 13:44:40,RandomForest,precision,0.7710843373493976
example,f5e919f4-abab-4ddf-87fd-32af84809390,2023-05-06 13:44:40,RandomForest,recall,0.7191011235955056
example,314bec7d-926d-4349-8d60-1c8e66409d79,2023-05-06 13:46:10,RandomForest,accuracy,0.7953488372093023
example,314bec7d-926d-4349-8d60-1c8e66409d79,2023-05-06 13:46:10,RandomForest,precision,0.7710843373493976
example,314bec7d-926d-4349-8d60-1c8e66409d79,2023-05-06 13:46:10,RandomForest,recall,0.7191011235955056
example,79ab01ab-62f5-4048-b7a8-3780104445b8,2023-05-06 13:46:24,RandomForest,accuracy,0.7953488372093023
example,79ab01ab-62f5-4048-b7a8-3780104445b8,2023-05-06 13:46:24,RandomForest,precision,0.7710843373493976
example,79ab01ab-62f5-4048-b7a8-3780104445b8,2023-05-06 13:46:24,RandomForest,recall,0.7191011235955056
example,b7434b8a-fb3c-409f-b22e-2b11af936b23,2023-05-06 17:59:53,RandomForest,accuracy,0.7953488372093023
example,b7434b8a-fb3c-409f-b22e-2b11af936b23,2023-05-06 17:59:53,RandomForest,precision,0.7710843373493976
example,b7434b8a-fb3c-409f-b22e-2b11af936b23,2023-05-06 17:59:53,RandomForest,recall,0.7191011235955056
example,b5e7bd1b-2f6e-4aa5-a1a2-84ac3bfb9e28,2023-05-06 18:01:33,RandomForest,accuracy,0.7953488372093023
example,b5e7bd1b-2f6e-4aa5-a1a2-84ac3bfb9e28,2023-05-06 18:01:33,RandomForest,precision,0.7710843373493976
example,b5e7bd1b-2f6e-4aa5-a1a2-84ac3bfb9e28,2023-05-06 18:01:33,RandomForest,recall,0.7191011235955056
example,46697041-0036-4492-b456-3465bd70217b,2023-05-06 18:02:05,RandomForest,accuracy,0.7953488372093023
example,46697041-0036-4492-b456-3465bd70217b,2023-05-06 18:02:05,RandomForest,precision,0.7710843373493976
example,46697041-0036-4492-b456-3465bd70217b,2023-05-06 18:02:05,RandomForest,recall,0.7191011235955056
example,5863d486-485b-4b8e-ad8d-240bf7cb2de1,2023-05-06 18:03:48,RandomForest,accuracy,0.7953488372093023
example,5863d486-485b-4b8e-ad8d-240bf7cb2de1,2023-05-06 18:03:48,RandomForest,precision,0.7710843373493976
example,5863d486-485b-4b8e-ad8d-240bf7cb2de1,2023-05-06 18:03:48,RandomForest,recall,0.7191011235955056
example,02d37392-88e1-4c0c-b0ca-bdf25737a1fd,2023-05-06 18:04:00,RandomForest,accuracy,0.7953488372093023
example,02d37392-88e1-4c0c-b0ca-bdf25737a1fd,2023-05-06 18:04:00,RandomForest,precision,0.7710843373493976
example,02d37392-88e1-4c0c-b0ca-bdf25737a1fd,2023-05-06 18:04:00,RandomForest,recall,0.7191011235955056
example,f72f9693-e54f-4092-b09b-a0f1c5dc2a18,2023-05-06 19:03:39,RandomForest,accuracy,0.7953488372093023
example,f72f9693-e54f-4092-b09b-a0f1c5dc2a18,2023-05-06 19:03:39,RandomForest,precision,0.7710843373493976
example,f72f9693-e54f-4092-b09b-a0f1c5dc2a18,2023-05-06 19:03:39,RandomForest,recall,0.7191011235955056
example,23460f4a-59d3-402a-8205-8c215a058737,2023-05-06 19:03:48,RandomForest,accuracy,0.7953488372093023
example,23460f4a-59d3-402a-8205-8c215a058737,2023-05-06 19:03:48,RandomForest,precision,0.7710843373493976
example,23460f4a-59d3-402a-8205-8c215a058737,2023-05-06 19:03:48,RandomForest,recall,0.7191011235955056
example,8dc187af-d342-4715-92be-599ee0b53fa6,2023-05-06 19:15:45,RandomForest,accuracy,0.7953488372093023
example,8dc187af-d342-4715-92be-599ee0b53fa6,2023-05-06 19:15:45,RandomForest,precision,0.7710843373493976
example,8dc187af-d342-4715-92be-599ee0b53fa6,2023-05-06 19:15:45,RandomForest,recall,0.7191011235955056
example,995679e3-4fd2-4da6-a446-73e748daa5aa,2023-05-06 19:25:45,RandomForest,accuracy,0.7953488372093023
example,995679e3-4fd2-4da6-a446-73e748daa5aa,2023-05-06 19:25:45,RandomForest,precision,0.7710843373493976
example,995679e3-4fd2-4da6-a446-73e748daa5aa,2023-05-06 19:25:45,RandomForest,recall,0.7191011235955056
example,8d532f95-e0d0-4b10-8772-4563858801a9,2023-05-06 19:28:03,RandomForest,accuracy,0.7953488372093023
example,8d532f95-e0d0-4b10-8772-4563858801a9,2023-05-06 19:28:03,RandomForest,precision,0.7710843373493976
example,8d532f95-e0d0-4b10-8772-4563858801a9,2023-05-06 19:28:03,RandomForest,recall,0.7191011235955056
example,34316909-82c8-4865-83b8-a0f0c5490cc5,2023-05-06 19:29:38,RandomForest,accuracy,0.7953488372093023
example,34316909-82c8-4865-83b8-a0f0c5490cc5,2023-05-06 19:29:38,RandomForest,precision,0.7710843373493976
example,34316909-82c8-4865-83b8-a0f0c5490cc5,2023-05-06 19:29:38,RandomForest,recall,0.7191011235955056
example,3ac6e197-d68e-47eb-a59a-051695868017,2023-05-06 19:33:33,RandomForest,accuracy,0.7953488372093023
example,3ac6e197-d68e-47eb-a59a-051695868017,2023-05-06 19:33:33,RandomForest,precision,0.7710843373493976
example,3ac6e197-d68e-47eb-a59a-051695868017,2023-05-06 19:33:33,RandomForest,recall,0.7191011235955056
example,2d809e69-0ea5-4aa6-96d5-792049f5f698,2023-05-06 19:35:57,RandomForest,accuracy,0.7953488372093023
example,2d809e69-0ea5-4aa6-96d5-792049f5f698,2023-05-06 19:35:57,RandomForest,precision,0.7710843373493976
example,2d809e69-0ea5-4aa6-96d5-792049f5f698,2023-05-06 19:35:57,RandomForest,recall,0.7191011235955056
example,4047ae7e-55a5-44de-a5e7-90b4f627e5f9,2023-05-06 19:53:50,RandomForest,accuracy,0.7953488372093023
example,4047ae7e-55a5-44de-a5e7-90b4f627e5f9,2023-05-06 19:53:50,RandomForest,precision,0.7710843373493976
example,4047ae7e-55a5-44de-a5e7-90b4f627e5f9,2023-05-06 19:53:50,RandomForest,recall,0.7191011235955056
example,ebbb554e-2f06-412a-b18a-c25b2413c31a,2023-05-06 19:55:47,RandomForest,accuracy,0.7953488372093023
example,ebbb554e-2f06-412a-b18a-c25b2413c31a,2023-05-06 19:55:47,RandomForest,precision,0.7710843373493976
example,ebbb554e-2f06-412a-b18a-c25b2413c31a,2023-05-06 19:55:47,RandomForest,recall,0.7191011235955056
example,4603f06e-4c87-4581-a898-879da9b28089,2023-05-06 20:08:07,RandomForest,accuracy,0.7953488372093023
example,4603f06e-4c87-4581-a898-879da9b28089,2023-05-06 20:08:07,RandomForest,precision,0.7710843373493976
example,4603f06e-4c87-4581-a898-879da9b28089,2023-05-06 20:08:07,RandomForest,recall,0.7191011235955056
example,256b10c6-dff9-4c33-97ce-813e81135a39,2023-05-06 20:09:41,RandomForest,accuracy,0.7953488372093023
example,256b10c6-dff9-4c33-97ce-813e81135a39,2023-05-06 20:09:41,RandomForest,precision,0.7710843373493976
example,256b10c6-dff9-4c33-97ce-813e81135a39,2023-05-06 20:09:41,RandomForest,recall,0.7191011235955056
example,0ac2fb6f-9403-45c0-b36b-2714dec29606,2023-05-06 20:54:44,RandomForest,accuracy,0.7953488372093023
example,0ac2fb6f-9403-45c0-b36b-2714dec29606,2023-05-06 20:54:44,RandomForest,precision,0.7710843373493976
example,0ac2fb6f-9403-45c0-b36b-2714dec29606,2023-05-06 20:54:44,RandomForest,recall,0.7191011235955056
example,ad8e3db2-25f9-462c-a799-eaef492c415e,2023-05-06 22:01:25,RandomForest,accuracy,0.7953488372093023
example,ad8e3db2-25f9-462c-a799-eaef492c415e,2023-05-06 22:01:25,RandomForest,precision,0.7710843373493976
example,ad8e3db2-25f9-462c-a799-eaef492c415e,2023-05-06 22:01:25,RandomForest,recall,0.7191011235955056
example,d5341fa9-f599-4697-81b1-60e2ccf4d2fe,2023-05-06 22:04:02,RandomForest,accuracy,0.7953488372093023
example,d5341fa9-f599-4697-81b1-60e2ccf4d2fe,2023-05-06 22:04:02,RandomForest,precision,0.7710843373493976
example,d5341fa9-f599-4697-81b1-60e2ccf4d2fe,2023-05-06 22:04:02,RandomForest,recall,0.7191011235955056
example,d2179ab1-0ed9-4a01-8879-a57d75ffca33,2023-05-08 12:39:46,RandomForest,accuracy,0.7953488372093023
example,d2179ab1-0ed9-4a01-8879-a57d75ffca33,2023-05-08 12:39:46,RandomForest,precision,0.7710843373493976
example,d2179ab1-0ed9-4a01-8879-a57d75ffca33,2023-05-08 12:39:46,RandomForest,recall,0.7191011235955056
example,01a5559d-1aab-4477-b273-572305d14d75,2023-05-08 20:10:24,RandomForest,accuracy,0.7953488372093023
example,01a5559d-1aab-4477-b273-572305d14d75,2023-05-08 20:10:24,RandomForest,precision,0.7710843373493976
example,01a5559d-1aab-4477-b273-572305d14d75,2023-05-08 20:10:24,RandomForest,recall,0.7191011235955056
example,63d52e9e-dc00-46b1-a29f-15e328374bb3,2023-05-08 20:10:31,RandomForest,accuracy,0.7953488372093023
example,63d52e9e-dc00-46b1-a29f-15e328374bb3,2023-05-08 20:10:31,RandomForest,precision,0.7710843373493976
example,63d52e9e-dc00-46b1-a29f-15e328374bb3,2023-05-08 20:10:31,RandomForest,recall,0.7191011235955056
example,3523ade3-f8c9-4f01-ac6d-f597ba133ccd,2023-05-08 20:11:05,RandomForest,accuracy,0.7953488372093023
example,3523ade3-f8c9-4f01-ac6d-f597ba133ccd,2023-05-08 20:11:05,RandomForest,precision,0.7710843373493976
example,3523ade3-f8c9-4f01-ac6d-f597ba133ccd,2023-05-08 20:11:05,RandomForest,recall,0.7191011235955056
example,d34a18fc-9e3d-4944-82e3-a9d8124aaa60,2023-05-08 20:14:57,RandomForest,accuracy,0.7953488372093023
example,d34a18fc-9e3d-4944-82e3-a9d8124aaa60,2023-05-08 20:14:57,RandomForest,precision,0.7710843373493976
example,d34a18fc-9e3d-4944-82e3-a9d8124aaa60,2023-05-08 20:14:57,RandomForest,recall,0.7191011235955056
example,e72057b2-60f9-4719-8687-40f60cabdb36,2023-05-08 20:16:50,RandomForest,accuracy,0.7953488372093023
example,e72057b2-60f9-4719-8687-40f60cabdb36,2023-05-08 20:16:50,RandomForest,precision,0.7710843373493976
example,e72057b2-60f9-4719-8687-40f60cabdb36,2023-05-08 20:16:50,RandomForest,recall,0.7191011235955056
example,7de305be-66a7-4b24-be36-f3749d294628,2023-05-08 20:17:16,RandomForest,accuracy,0.7953488372093023
example,7de305be-66a7-4b24-be36-f3749d294628,2023-05-08 20:17:16,RandomForest,precision,0.7710843373493976
example,7de305be-66a7-4b24-be36-f3749d294628,2023-05-08 20:17:16,RandomForest,recall,0.7191011235955056
example,99a4c8b3-2e91-4737-b1b3-e1eb44b37ab9,2023-05-10 08:02:00,RandomForest,accuracy,0.7953488372093023
example,99a4c8b3-2e91-4737-b1b3-e1eb44b37ab9,2023-05-10 08:02:00,RandomForest,precision,0.7710843373493976
example,99a4c8b3-2e91-4737-b1b3-e1eb44b37ab9,2023-05-10 08:02:00,RandomForest,recall,0.7191011235955056
example,4f519684-353a-49c9-8f5b-16c5b34881c7,2023-05-10 08:02:15,RandomForest,accuracy,0.7953488372093023
example,4f519684-353a-49c9-8f5b-16c5b34881c7,2023-05-10 08:02:15,RandomForest,precision,0.7710843373493976
example,4f519684-353a-49c9-8f5b-16c5b34881c7,2023-05-10 08:02:15,RandomForest,recall,0.7191011235955056
example,948641c5-f903-4944-af11-35187ac3ac53,2024-01-06 16:53:40,RandomForest,accuracy,0.7953488372093023
example,948641c5-f903-4944-af11-35187ac3ac53,2024-01-06 16:53:40,RandomForest,precision,0.7710843373493976
example,948641c5-f903-4944-af11-35187ac3ac53,2024-01-06 16:53:40,RandomForest,recall,0.7191011235955056
example,c90cd595-d481-4b1f-a219-474b72641cb7,2024-01-06 16:53:51,RandomForest,accuracy,0.7953488372093023
example,c90cd595-d481-4b1f-a219-474b72641cb7,2024-01-06 16:53:51,RandomForest,precision,0.7710843373493976
example,c90cd595-d481-4b1f-a219-474b72641cb7,2024-01-06 16:53:51,RandomForest,recall,0.7191011235955056
example,b554f8a6-0ac6-4097-b470-2c150f3d06a4,2024-01-06 16:54:36,RandomForest,accuracy,0.7953488372093023
example,b554f8a6-0ac6-4097-b470-2c150f3d06a4,2024-01-06 16:54:36,RandomForest,precision,0.7710843373493976
example,b554f8a6-0ac6-4097-b470-2c150f3d06a4,2024-01-06 16:54:36,RandomForest,recall,0.7191011235955056
example,dd23c257-ff15-4d06-a434-57187d7c90f2,2024-01-06 18:05:20,RandomForest,accuracy,0.7953488372093023
example,dd23c257-ff15-4d06-a434-57187d7c90f2,2024-01-06 18:05:20,RandomForest,precision,0.7710843373493976
example,dd23c257-ff15-4d06-a434-57187d7c90f2,2024-01-06 18:05:20,RandomForest,recall,0.7191011235955056
example,ee20e4f0-33e7-444a-9e55-014d54312eeb,2024-01-06 18:05:46,RandomForest,accuracy,0.7953488372093023
example,ee20e4f0-33e7-444a-9e55-014d54312eeb,2024-01-06 18:05:46,RandomForest,precision,0.7710843373493976
example,ee20e4f0-33e7-444a-9e55-014d54312eeb,2024-01-06 18:05:46,RandomForest,recall,0.7191011235955056
example,16748d8f-ce2c-4865-9c97-83cb05265997,2024-01-07 12:01:17,RandomForest,accuracy,0.7953488372093023
example,16748d8f-ce2c-4865-9c97-83cb05265997,2024-01-07 12:01:17,RandomForest,precision,0.7710843373493976
example,16748d8f-ce2c-4865-9c97-83cb05265997,2024-01-07 12:01:17,RandomForest,recall,0.7191011235955056
example,d455d73c-71c6-4dbf-9a0d-73eec0b0cf35,2024-01-07 12:11:00,RandomForest,accuracy,0.7953488372093023
example,d455d73c-71c6-4dbf-9a0d-73eec0b0cf35,2024-01-07 12:11:00,RandomForest,precision,0.7710843373493976
example,d455d73c-71c6-4dbf-9a0d-73eec0b0cf35,2024-01-07 12:11:00,RandomForest,recall,0.7191011235955056
example,87de7368-6c2b-494f-b290-8e60126214ec,2024-01-07 12:55:38,RandomForest,accuracy,0.7953488372093023
example,87de7368-6c2b-494f-b290-8e60126214ec,2024-01-07 12:55:38,RandomForest,precision,0.7710843373493976
example,87de7368-6c2b-494f-b290-8e60126214ec,2024-01-07 12:55:38,RandomForest,recall,0.7191011235955056
example,627e7613-3401-4e7c-a685-33c06e7f3ed5,2024-01-08 20:17:39,RandomForest,accuracy,0.7953488372093023
example,627e7613-3401-4e7c-a685-33c06e7f3ed5,2024-01-08 20:17:39,RandomForest,precision,0.7710843373493976
example,627e7613-3401-4e7c-a685-33c06e7f3ed5,2024-01-08 20:17:39,RandomForest,recall,0.7191011235955056
example,22be2a43-711e-41e6-b9b2-bafbef122c01,2024-01-08 20:24:34,RandomForest,accuracy,0.7953488372093023
example,22be2a43-711e-41e6-b9b2-bafbef122c01,2024-01-08 20:24:34,RandomForest,precision,0.7710843373493976
example,22be2a43-711e-41e6-b9b2-bafbef122c01,2024-01-08 20:24:34,RandomForest,recall,0.7191011235955056
example,8d015b3d-a47f-4461-8b42-4e172fecf17a,2024-01-08 20:29:07,RandomForest,accuracy,0.7953488372093023
example,8d015b3d-a47f-4461-8b42-4e172fecf17a,2024-01-08 20:29:07,RandomForest,precision,0.7710843373493976
example,8d015b3d-a47f-4461-8b42-4e172fecf17a,2024-01-08 20:29:07,RandomForest,recall,0.7191011235955056
example,41649e13-f2fd-4dfb-8599-0f73c296d0d0,2024-01-08 21:32:33,RandomForest,accuracy,0.7953488372093023
example,41649e13-f2fd-4dfb-8599-0f73c296d0d0,2024-01-08 21:32:33,RandomForest,precision,0.7710843373493976
example,41649e13-f2fd-4dfb-8599-0f73c296d0d0,2024-01-08 21:32:33,RandomForest,recall,0.7191011235955056
example,1fd6ffce-78df-4a6e-9a30-5f30a82ffb18,2024-01-08 21:38:57,RandomForest,accuracy,0.7953488372093023
example,1fd6ffce-78df-4a6e-9a30-5f30a82ffb18,2024-01-08 21:38:57,RandomForest,precision,0.7710843373493976
example,1fd6ffce-78df-4a6e-9a30-5f30a82ffb18,2024-01-08 21:38:57,RandomForest,recall,0.7191011235955056
example,8891d7bb-b00c-41fa-934c-fc6dcd3edaae,2024-01-08 21:41:02,RandomForest,accuracy,0.7953488372093023
example,8891d7bb-b00c-41fa-934c-fc6dcd3edaae,2024-01-08 21:41:02,RandomForest,precision,0.7710843373493976
example,8891d7bb-b00c-41fa-934c-fc6dcd3edaae,2024-01-08 21:41:02,RandomForest,recall,0.7191011235955056
